TVDSS,WELL,NPHI,GR,RHOB,PHIE,VSH
3259.98847,N18,0.18689,70.672,2.508,0.054994,0.507
3260.29327,N18,0.13204,58.183,2.493,0.077795,0.2787
3260.44567,N18,0.1178,55.617,2.475,0.093869,0.191
3260.59807,N18,0.10832,52.442,2.458,0.108157,0.1225
3260.75047,N18,0.10047,48.052,2.459,0.109166,0.0962
3260.90287,N18,0.11632,43.662,2.46,0.104963,0.1554
3261.05527,N18,0.13217,39.272,2.459,0.102189,0.2106
3261.20767,N18,0.13885,40.857,2.456,0.102864,0.2287
3261.36007,N18,0.1429,43.947,2.457,0.101255,0.2453
3261.51247,N18,0.14545,47.037,2.457,0.100692,0.2545
3261.66487,N18,0.15865,47.641,2.449,0.103496,0.2861
3261.81727,N18,0.17324,49.69,2.449,0.100264,0.3387
3261.96967,N18,0.15665,50.248,2.456,0.098933,0.293
3262.12207,N18,0.13812,42.569,2.452,0.105889,0.218
3262.27447,N18,0.1196,34.653,2.427,0.127868,0.1007
3262.42687,N18,0.13786,26.738,2.402,0.156596,0.0348
3262.57927,N18,0.17497,22.989,2.377,0.186923,0.0
3262.73167,N18,0.24904,25.331,2.352,0.229167,0.0066
3263.34127,N18,0.17398,52.18,2.315,0.195713,0.0713
3263.49367,N18,0.13353,43.333,2.38,0.158352,0.0563
3263.64607,N18,0.09308,33.582,2.43,0.13158,0.011
3263.79847,N18,0.11012,23.83,2.434,0.127018,0.0696
3263.95087,N18,0.12963,26.791,2.425,0.128837,0.1235
3264.10327,N18,0.21164,35.895,2.416,0.137008,0.289
3264.25567,N18,0.24987,45.0,2.418,0.122564,0.4545
3264.71287,N18,0.29099,72.314,2.545,0.0,0.9512
3265.17007,N18,0.23276,62.819,2.495,0.054203,0.6464
3266.54167,N18,0.22092,41.238,2.327,0.176674,0.265
3266.69407,N18,0.16851,39.92,2.381,0.149856,0.1846
3266.84647,N18,0.16251,41.712,2.435,0.112645,0.2718
3266.99887,N18,0.17741,45.98,2.488,0.07144,0.4324
3267.60847,N18,0.11403,37.009,2.444,0.116933,0.1149
3267.76087,N18,0.1695,36.611,2.455,0.103352,0.302
3267.91327,N18,0.24806,44.56,2.479,0.10459,0.4465
3268.21807,N18,0.29204,68.052,2.526,0.028041,0.8737
3268.37047,N18,0.29266,82.683,2.589,0.0,1.0
3268.52287,N18,0.29379,80.939,2.601,0.0,1.0
3268.67527,N18,0.29671,77.803,2.597,0.0,1.0
3268.82767,N18,0.30439,75.463,2.591,0.0,1.0
3268.98007,N18,0.31523,73.123,2.601,0.0,0.9659
3269.13247,N18,0.31624,72.688,2.607,0.0,0.958
3269.28487,N18,0.29768,76.054,2.606,0.0,1.0
3269.43727,N18,0.2772,79.42,2.602,0.0,1.0
3269.89447,N18,0.16172,66.155,2.474,0.084929,0.3475
